,Language,Prediction
6662,Russian,Russian
7362,Italian,Italian
765,English,English
6192,Russian,Russian
562,English,English
6984,Danish,Danish
39,English,English
1597,Malayalam,Malayalam
6202,Russian,Russian
10241,Kannada,Kannada
8889,Sweedish,Sweedish
592,English,English
8283,Turkish,Turkish
1183,English,English
5015,Spanish,Spanish
9581,German,German
543,English,English
883,English,English
35,English,English
3014,Portugeese,Portugeese
8043,Turkish,Turkish
2956,Portugeese,Portugeese
3614,French,French
7913,Turkish,Turkish
9607,German,German
3798,French,French
9506,German,German
6050,Russian,Russian
850,English,English
6983,Danish,Danish
2848,Portugeese,Portugeese
7773,Italian,Italian
2291,Tamil,Tamil
6734,Danish,Danish
2233,Tamil,Tamil
5664,Greek,Greek
8939,Sweedish,Sweedish
7406,Italian,Italian
4802,Dutch,Dutch
952,English,English
487,English,English
3328,French,French
7998,Turkish,Turkish
10211,Kannada,Kannada
3370,French,French
4429,Dutch,Dutch
8737,Sweedish,Sweedish
3139,Portugeese,Spanish
8606,Sweedish,Sweedish
2357,Tamil,Tamil
4075,French,French
1901,Malayalam,Malayalam
1731,Malayalam,Malayalam
6125,Russian,Russian
8186,Turkish,Turkish
33,English,English
8744,Sweedish,Sweedish
6343,Russian,Russian
3438,French,French
8318,Sweedish,Sweedish
3272,French,French
96,English,English
9516,German,German
6194,Russian,Russian
6021,Russian,Russian
2992,Portugeese,Portugeese
8843,Sweedish,Sweedish
3960,French,French
483,English,English
6170,Russian,Russian
10301,Kannada,Kannada
1655,Malayalam,Malayalam
7948,Turkish,Turkish
3281,French,French
5579,Spanish,Spanish
8952,Sweedish,Sweedish
7727,Italian,Italian
2927,Portugeese,Portugeese
8045,Turkish,Turkish
9912,German,German
4375,Dutch,Dutch
3378,French,French
3209,Portugeese,Portugeese
3615,French,French
5595,Spanish,Spanish
450,English,English
251,English,English
4955,Spanish,Spanish
119,English,English
1718,Malayalam,Malayalam
5264,Spanish,Spanish
2691,Portugeese,Portugeese
1472,Malayalam,Malayalam
3931,French,French
6568,Russian,Russian
3063,Portugeese,Portugeese
8594,Sweedish,Sweedish
4032,French,French
3609,French,French
6080,Russian,Russian
5333,Spanish,Spanish
4309,Dutch,Dutch
2127,Tamil,Tamil
1090,English,English
1470,Malayalam,Malayalam
10022,Kannada,Kannada
9169,Arabic,Arabic
5781,Greek,Greek
1076,English,English
4301,Dutch,Dutch
8492,Sweedish,Sweedish
9408,Arabic,Arabic
6083,Russian,Russian
5603,Spanish,Spanish
2894,Portugeese,Portugeese
518,English,English
6847,Danish,Danish
8833,Sweedish,Sweedish
735,English,English
9729,German,German
733,English,English
5314,Spanish,Spanish
6637,Russian,Russian
6223,Russian,Russian
8489,Sweedish,Sweedish
8290,Sweedish,Sweedish
3058,Portugeese,Portugeese
2495,Tamil,Tamil
5860,Greek,Greek
4102,French,English
5936,Greek,Greek
8590,Sweedish,Sweedish
2249,Tamil,Tamil
2982,Portugeese,Portugeese
3208,Portugeese,Portugeese
6176,Russian,Russian
7921,Turkish,Turkish
5226,Spanish,Spanish
1530,Malayalam,Malayalam
3661,French,French
4480,Dutch,Dutch
3989,French,French
4822,Spanish,Spanish
4428,Dutch,Dutch
8087,Turkish,Turkish
3329,French,French
3921,French,French
1121,English,English
2613,Portugeese,Portugeese
9601,German,German
1111,English,English
